linha,termo,frequencia
1,brasil,14
2,pátria,10
3,amada,7
4,salve,6
5,terra,6
6,mais,5
7,filhos,4
8,símbolo,3
9,nosso,3
10,seio,3
11,amor,3
12,gentil,3
13,liberdade,3
14,entre,3
15,forte,3
16,própria,3
17,esperança,2
18,grandeza,2
19,peito,2
20,formoso,2
21,cruzeiro,2
22,brasileira,2
23,justiça,2
24,vossos,2
25,resplandece,2
26,dessa,2
27,morte,2
28,idolatrada,2
29,futuro,2
30,adorada,2
31,outras,2
32,deste,2
33,solo,2
34,vida,2
35,lindo,1
36,pendão,1
37,augusto,1
38,nobre,1
39,presença,1
40,lembrança,1
41,traz,1
42,recebe,1
43,afeto,1
44,encerra,1
45,juvenil,1
46,querido,1
47,retratas,1
48,este,1
49,puríssimo,1
50,azul,1
51,verdura,1
52,destas,1
53,matas,1
54,esplendor,1
55,contemplando,1
56,vulto,1
57,sagrado,1
58,compreendemos,1
59,dever,1
60,seus,1
61,amado,1
62,poderoso,1
63,feliz,1
64,sobre,1
65,imensa,1
66,nação,1
67,momentos,1
68,festa,1
69,paira,1
70,sempre,1
71,sagrada,1
72,bandeira,1
73,pavilhão,1
74,podeis,1
75,contente,1
76,raiou,1
77,horizonte,1
78,brava,1
79,gente,1
80,longe,1
81,temor,1
82,servil,1
83,ficar,1
84,livre,1
85,morrer,1
86,pelo,1
87,grilhões,1
88,forjava,1
89,perfídia,1
90,astuto,1
91,ardil,1
92,houve,1
93,poderosa,1
94,zombou,1
95,deles,1
96,temais,1
97,ímpias,1
98,falanges,1
99,apresentam,1
100,face,1
101,hostil,1
102,peitos,1
103,braços,1
104,muralhas,1
105,parabéns,1
106,brasileiro,1
107,garbo,1
108,varonil,1
109,universo,1
110,nações,1
111,ouviram,1
112,ipiranga,1
113,margens,1
114,plácidas,1
115,povo,1
116,heroico,1
117,brado,1
118,retumbante,1
119,raios,1
120,fúlgidos,1
121,brilhou,1
122,nesse,1
123,instante,1
124,penhor,1
125,igualdade,1
126,conseguimos,1
127,conquistar,1
128,braço,1
129,desafia,1
130,sonho,1
131,intenso,1
132,raio,1
133,vívido,1
134,desce,1
135,risonho,1
136,límpido,1
137,imagem,1
138,gigante,1
139,pela,1
140,natureza,1
141,belo,1
142,impávido,1
143,colosso,1
144,espelha,1
145,essa,1
146,deitado,1
147,eternamente,1
148,berço,1
149,esplêndido,1
150,profundo,1
151,fulguras,1
152,florão,1
153,américa,1
154,iluminado,1
155,novo,1
156,mundo,1
157,garrida,1
158,teus,1
159,risonhos,1
160,lindos,1
161,campos,1
162,flores,1
163,nossos,1
164,bosques,1
165,nossa,1
166,amores,1
167,eterno,1
168,seja,1
169,lábaro,1
170,ostentas,1
171,estrelado,1
172,diga,1
173,verdelouro,1
174,flâmula,1
175,glória,1
176,passado,1
177,ergues,1
178,clava,1
179,verás,1
180,filho,1
181,foge,1
182,luta,1
183,teme,1
184,quem,1
185,adora,1
